trade_id,coin,direction,opened_at_utc,closed_at_utc,duration_h,size_usd,hl_size_coin,counter_size_coin,entry_hl_fr_1h,entry_counter_fr_1h,entry_net_fr_1h,entry_hl_px,entry_counter_px,entry_spread,exit_hl_fr_1h,exit_counter_fr_1h,exit_net_fr_1h,est_funding_usd,est_cost_usd,est_net_usd,actual_hl_funding_usd,actual_lighter_funding_usd,actual_total_funding_usd,exit_reason
2026-04-18T131043-XMR,XMR,long_fr,2026-04-18 13:10:43,2026-04-19 03:30:03,14.322,90.0,0.259,0.259,3.083205e-05,0.000744,0.00071316795,347.05,347.338,-0.0008298516063968042,1.25e-05,9.6e-05,8.35e-05,0.9193,0.063,0.8563,-0.0217,0.2737,0.2519,normal
2026-04-18T131043-TON,TON,short_fr,2026-04-18 13:10:43,2026-04-19 04:30:01,15.322,90.0,65.5,65.5,1.369e-06,-0.000624,0.000625369,1.3744,1.37404,-0.0002619324796275742,-3.28e-05,-0.000112,7.92e-05,0.8624,0.063,0.7994,-0.0373,0.5768,0.5395,normal
2026-04-18T131043-WLFI,WLFI,short_fr,2026-04-18 13:10:43,2026-04-19 05:30:02,16.322,90.0,1125.0,1125.7,-5.6016e-06,-0.0006559999999999999,0.0006503984,0.080021,0.07995,-0.0008872670923882683,6.43e-06,-3.2e-05,3.843e-05,0.567,0.063,0.504,0.0108,0.5563,0.567,normal
2026-04-19T033003-IP,IP,short_fr,2026-04-19 03:30:03,2026-04-19 11:30:01,7.999,90.0,167.9,167.63,-0.0007597858000000001,-0.006196,0.0054362142,0.53611,0.5369,0.0014735781835818554,1.25e-05,7.2e-05,-5.95e-05,0.5041,0.063,0.4411,-0.0646,0.5688,0.5041,normal
2026-04-19T053002-0G,0G,short_fr,2026-04-19 05:30:02,2026-04-19 13:30:01,8.0,90.0,159.0,159.09,-9.111645e-05,-0.001464,0.00137288355,0.56529,0.5657,0.0007252914433300103,2.6e-07,-3.2e-05,3.226e-05,-0.0077,0.063,-0.0707,-0.0878,0.0801,-0.0077,normal
2026-04-19T113001-AERO,AERO,short_fr,2026-04-19 11:30:01,2026-04-19 13:30:01,2.0,90.0,236.0,236.3,-0.0001573471,-0.001108,0.0009506528999999999,0.38056,0.38092,0.0009459743535841167,-3.155e-05,-0.000184,0.00015245,0.0008,0.063,-0.0622,-0.0147,0.0155,0.0008,normal
