timestamp_utc,coin,exchange,funding_rate_8h,funding_rate_1h,funding_rate_24h
2026-03-23 04:25:52,DOGE,BybitPerp,-5.056e-05,-6.32e-06,-0.00015167999999999998
2026-03-23 04:25:52,ETH,BybitPerp,2.918e-05,3.6475e-06,8.753999999999999e-05
2026-03-23 04:25:52,SOL,BybitPerp,-1.858e-05,-2.3225e-06,-5.5740000000000005e-05
2026-03-23 04:25:52,XRP,BybitPerp,0.0001,1.25e-05,0.00030000000000000003
2026-03-23 04:33:12,BTC,BybitPerp,1.873e-05,2.34125e-06,5.6189999999999996e-05
2026-03-23 04:33:12,DOGE,BybitPerp,-4.669e-05,-5.83625e-06,-0.00014007
2026-03-23 04:33:12,ETH,BybitPerp,3.076e-05,3.845e-06,9.227999999999999e-05
2026-03-23 04:33:12,SOL,BybitPerp,-1.184e-05,-1.48e-06,-3.552e-05
2026-03-23 04:33:12,XRP,BybitPerp,0.0001,1.25e-05,0.00030000000000000003
2026-03-23 06:09:19,BTC,BybitPerp,2.405e-05,3.00625e-06,7.214999999999999e-05
2026-03-23 06:09:19,DOGE,BybitPerp,-2.065e-05,-2.58125e-06,-6.195e-05
2026-03-23 06:09:19,ETH,BybitPerp,3.597e-05,4.49625e-06,0.00010791000000000002
2026-03-23 06:09:19,SOL,BybitPerp,1.804e-05,2.255e-06,5.4120000000000004e-05
2026-03-23 06:09:19,XRP,BybitPerp,0.0001,1.25e-05,0.00030000000000000003
2026-03-23 08:00:59,BTC,BybitPerp,0.0001,1.25e-05,0.00030000000000000003
2026-03-23 08:00:59,DOGE,BybitPerp,0.0001,1.25e-05,0.00030000000000000003
2026-03-23 08:00:59,ETH,BybitPerp,0.0001,1.25e-05,0.00030000000000000003
2026-03-23 08:00:59,SOL,BybitPerp,0.0001,1.25e-05,0.00030000000000000003
2026-03-23 08:00:59,XRP,BybitPerp,0.0001,1.25e-05,0.00030000000000000003
2026-03-23 09:59:37,BTC,BybitPerp,4.838e-05,6.0475e-06,0.00014514
2026-03-23 09:59:37,DOGE,BybitPerp,-3.849e-05,-4.81125e-06,-0.00011547
2026-03-23 09:59:37,ETH,BybitPerp,-5.61e-05,-7.0125e-06,-0.0001683
2026-03-23 09:59:37,SOL,BybitPerp,-0.00013663,-1.707875e-05,-0.00040989
2026-03-23 09:59:37,XRP,BybitPerp,-7.07e-06,-8.8375e-07,-2.1210000000000002e-05
