timestamp_utc,coin,funding_rate_1h,next_settle_time
2026-04-03 14:04:47,ETH,-3.125e-06,1775232000000
2026-04-03 14:04:47,BTC,3.75e-07,1775232000000
2026-04-03 14:04:47,SOL,-2.125e-06,1775232000000
2026-04-03 14:09:39,ETH,-2.5e-06,1775232000000
2026-04-03 14:09:39,BTC,5e-07,1775232000000
2026-04-03 14:09:39,SOL,-1.5e-06,1775232000000
2026-04-03 15:37:21,ETH,-1.25e-06,1775232000000
2026-04-03 15:37:21,BTC,0.0,1775232000000
2026-04-03 15:37:21,SOL,4.375e-06,1775232000000
2026-04-03 16:36:55,ETH,-1e-06,1775260800000
2026-04-03 16:36:55,BTC,1.25e-06,1775260800000
2026-04-03 16:36:55,SOL,6.875e-06,1775260800000
2026-04-03 17:31:16,ETH,-1.125e-06,1775260800000
2026-04-03 17:31:16,BTC,1e-06,1775260800000
2026-04-03 17:31:16,SOL,8.375e-06,1775260800000
2026-04-03 18:41:30,ETH,0.0,1775260800000
2026-04-03 18:41:30,BTC,1.625e-06,1775260800000
2026-04-03 18:41:30,SOL,8.25e-06,1775260800000
